id,weighting,tenure_type,region,gross_income,length_residence,weekly_rent,weekly_mortgage,freehold_leasehold
20220006619,2164.102581980732,housing association,London,20155,5-9 years,109,NA,NA
20220006622,4594.006211022368,local authority,East,16588,10-19 years,96,NA,NA
20220006623,1275.319088534403,owner occupied,Yorkshire and the Humber,20155,20-29 years,NA,NA,NA
20220006625,430.7283463712621,owner occupied,London,97600,5-9 years,NA,21.153846153846153,leasehold
20220006627,784.3950738538177,private rented,East Midlands,22220.3,5-9 years,178.84615384615384,NA,NA
20220006635,1171.9660510113172,housing association,London,14119.8,5-9 years,124.6153846153846,NA,NA
20220006643,1628.1731010416768,owner occupied,Yorkshire and the Humber,77575,less than 1 year,NA,253.84615384615384,freehold
20220006645,2466.994476844353,owner occupied,North West,100000,10-19 years,NA,NA,freehold
20220006646,4978.515064353218,owner occupied,East,26305.5,5-9 years,NA,NA,leasehold
20220006649,1804.717521489269,private rented,North West,19152.5,5-9 years,132.69230769230768,NA,NA
20220006650,703.2636240774489,local authority,East,26352,10-19 years,91,NA,NA
20220006652,1256.1412899916588,local authority,South West,20752.75,30+ years,91,NA,NA
20220006655,2766.2760526186744,owner occupied,South East,100000,20-29 years,NA,NA,freehold
20220006657,2233.1518428093145,owner occupied,East Midlands,5126.49,10-19 years,NA,32.30769230769231,freehold
20220006663,1411.0238860232423,owner occupied,South East,68923.6532,30+ years,NA,NA,freehold
20220006664,2620.813619433077,owner occupied,South East,71464.2541168,10-19 years,NA,115.3846153846154,freehold
20220006667,1130.534005448541,private rented,South West,39631,one year,276.9230769230769,NA,NA
20220006678,1307.9159521853812,owner occupied,North West,69572.4456,10-19 years,NA,459.4280866962517,freehold
20220006683,1911.2262679358655,owner occupied,North West,25795,30+ years,NA,NA,freehold
20220006684,2155.740616268545,local authority,East Midlands,17067.8,10-19 years,80.76923076923077,NA,NA
20220006685,2489.5960979190754,private rented,East Midlands,28128.08,less than 1 year,150,NA,NA
20220006686,766.1712054501014,housing association,East,51116,10-19 years,113,NA,NA
20220006688,1130.6788656435372,private rented,East,28237.5,10-19 years,113.07692307692308,NA,NA
20220006689,1216.0368159541383,owner occupied,South East,10642,3-4 years,NA,NA,freehold
20220006698,1540.6432249764025,private rented,South West,37781.25,3-4 years,173.07692307692307,NA,NA
20220006701,901.8825122906932,local authority,North West,9284.2,20-29 years,76,NA,NA
20220006704,990.0363349629312,housing association,South West,56687.8,10-19 years,101,NA,NA
20220006705,5028.66976721734,owner occupied,South West,52312.5,20-29 years,NA,NA,freehold
20220006707,2569.4843538083023,owner occupied,London,69212.5,10-19 years,NA,438.08092307198143,freehold
20220006708,3029.4132448675473,owner occupied,East,48092.64,less than 1 year,NA,189.23076923076923,freehold
20220006710,4756.6330646080505,owner occupied,East Midlands,37967.8,two years,NA,129.23076923076923,freehold
20220006713,1366.8876522272835,owner occupied,South West,59556.5,20-29 years,NA,NA,freehold
20220006717,4515.724322582825,owner occupied,South East,80495,20-29 years,NA,NA,freehold
20220006722,771.6155921540885,private rented,East,22343.75,3-4 years,0,NA,NA
20220006724,1037.6187100376794,housing association,East,22228.159999999996,5-9 years,85.61538461538461,NA,NA
20220006729,1857.1874665512728,owner occupied,North East,77627.8,two years,NA,110.88584180664432,freehold
20220006732,2074.6950484418285,owner occupied,South East,15271.415232,5-9 years,NA,NA,leasehold
20220006736,306.1288253546626,owner occupied,East,27642.5,two years,NA,NA,freehold
20220006738,1063.7497352678406,private rented,South West,58396.8,3-4 years,132.69230769230768,NA,NA
20220006743,2093.188248689955,owner occupied,North West,30315.8,3-4 years,NA,72.38023101414616,freehold
20220006744,3944.089001767872,housing association,London,3898.08,20-29 years,117.6923076923077,NA,NA
20220006745,1399.7385365091911,owner occupied,North West,70930.74,10-19 years,NA,184.6153846153846,leasehold
20220006749,4336.426444950726,housing association,Yorkshire and the Humber,25335,5-9 years,92.3076923076923,NA,NA
20220006752,1041.085164047391,private rented,East,3898.08,5-9 years,150,NA,NA
20220006761,700.4124847063206,local authority,East,21957.04,10-19 years,110.76923076923076,NA,NA
20220006764,5010.68854627197,owner occupied,West Midlands,87037.3,10-19 years,NA,NA,freehold
